0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1,0,0,0,0,0,0,0,0,0,0,0,15,112,170,276,420,532,736,1116,1707,2453,3883,5445,7093,8993,0
2,0,0,0,0,0,0,0,5,17,27,42,59,92,135,236,376,576,946,1457,2266,2873,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,66,121,211,304,385,607,847,1087,1596,1809,2393,2992,3732,4509,0,0,0
4,0,0,0,0,0,0,0,1,2,3,18,53,129,319,574,735,866,1122,1571,2002,2908,0,0,0,0,0
5,0,0,0,0,0,3,12,32,59,98,134,177,224,318,473,634,837,1207,1521,0,0,0,0,0,0,0
6,0,0,0,0,2,6,32,43,96,114,143,182,249,390,672,833,891,1127,0,0,0,0,0,0,0,0
7,0,0,0,3,7,15,27,45,71,93,127,169,222,304,394,491,832,0,0,0,0,0,0,0,0,0
8,0,0,1,4,9,15,21,31,53,98,149,215,284,342,0,0,0,0,0,0,0,0,0,0,0,0
9,1,6,11,12,13,14,23,34,60,136,160,202,247,356,500,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,647,871,1174,1583,2133,2875,3875,5222,7038,9485,12783
