0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1,0,0,0,0,0,0,0,0,0,0,0,16,114,170,279,423,533,741,1125,1720,2468,3917,5474,7127,9032,0
2,0,0,0,0,0,0,0,5,17,27,42,60,93,136,238,379,580,953,1467,2282,2884,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,67,122,212,306,386,612,852,1091,1607,1812,2406,3004,3747,4524,0,0,0
4,0,0,0,0,0,0,0,1,2,3,19,54,132,324,578,738,871,1131,1579,2020,2920,0,0,0,0,0
5,0,0,0,0,0,3,12,33,60,98,135,178,225,321,476,636,845,1213,1528,0,0,0,0,0,0,0
6,0,0,0,0,2,7,32,44,97,115,143,183,252,395,675,834,896,1130,0,0,0,0,0,0,0,0
7,0,0,0,3,7,15,27,45,71,94,127,169,223,306,395,494,844,0,0,0,0,0,0,0,0,0
8,0,0,2,5,10,16,23,33,60,105,158,227,293,352,443,0,0,0,0,0,0,0,0,0,0,0
9,1,6,11,12,13,14,23,34,60,136,160,202,247,325,500,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,674,908,1224,1650,2223,2997,4039,5443,7336,9887,13325
